Feature,Importance
cat__Attraction_Waterbom Bali,0.14779483
cat__Attraction_Kuta Beach - Bali,0.07483388
num__AttractionTypeId,0.052441385
cat__Attraction_Nusa Dua Beach,0.029478792
cat__AttractionType_Points of Interest & Landmarks,0.016618898
cat__Continent_America,0.016439458
cat__Continent_Asia,0.016112197
cat__Region_Northern America,0.01605065
cat__Attraction_Jomblang Cave,0.014380999
cat__Country_Indonesia,0.013873507
cat__AttractionType_Nature & Wildlife Areas,0.012418259
cat__Region_South Asia,0.012218091
cat__CityName_South Region,0.011613858
cat__Attraction_Bromo Tengger Semeru National Park,0.011245839
cat__Country_Brazil,0.01075858
cat__Attraction_Seminyak Beach,0.010756538
cat__Country_India,0.010624175
cat__Country_Netherlands,0.01021036
num__CountryId,0.00981452
cat__Region_North Africa,0.009813534
num__AttractionCityId,0.009556301
cat__Attraction_Kalibiru National Park,0.009295965
cat__Attraction_Ullen Sentalu Museum,0.009095892
cat__Attraction_Ratu Boko Temple,0.008792906
cat__Attraction_Water Castle (Tamansari),0.008690137
cat__Attraction_Sempu Island,0.008132975
cat__Country_Cambodia,0.007983996
cat__Region_Eastern Europe,0.007897017
cat__Region_Northern Europe,0.0077456417
cat__Country_Portugal,0.0076349657
cat__Country_United States,0.007596545
cat__Attraction_Mount Semeru Volcano,0.007413363
cat__Country_Nepal,0.0073116403
cat__AttractionAddress_Yogyakarta,0.007151828
cat__AttractionType_Religious Sites,0.0071142786
num__VisitMonth,0.0068665384
cat__Attraction_Malang City Square,0.006648372
cat__Country_Denmark,0.0066213706
cat__Region_South America,0.0064975475
cat__Country_Malaysia,0.006352269
cat__Region_West Africa,0.0061881244
cat__Country_New Zealand,0.006089237
cat__Attraction_Sewu Temple,0.006080095
cat__Country_Oman,0.0060283463
cat__Country_Ukraine,0.006009746
cat__Country_Ireland,0.0058658477
cat__Country_Brunei Darussalam,0.0057588154
cat__Attraction_Ramayana Ballet at Prambanan,0.005736793
cat__Country_China,0.005593444
cat__Country_Spain,0.0055852686
cat__Region_Middle East,0.0055116094
cat__Attraction_Yogyakarta Palace,0.005466507
cat__Attraction_Merapi Volcano,0.0053904285
cat__Country_Switzerland,0.0052473545
num__VisitYear,0.005192759
cat__Country_Latvia,0.005160787
cat__Country_Belgium,0.004970207
cat__Region_South East Asia,0.0049457904
cat__Country_Australia,0.004928969
cat__Country_Canada,0.00484657
cat__Country_Bulgaria,0.004685167
cat__Country_Estonia,0.0046643005
cat__Country_Czech Republic,0.0046537165
num__RegionId,0.0045231422
num__CityId,0.0044841147
cat__Attraction_Sanur Beach,0.0044228123
cat__Country_Russia,0.0044171023
cat__Country_Singapore,0.004412653
cat__AttractionType_Beaches,0.004411805
cat__Country_Turkey,0.0043994165
cat__Country_Egypt,0.004384823
cat__AttractionType_National Parks,0.0041904477
cat__Country_South Africa,0.0041730255
cat__Attraction_Tegalalang Rice Terrace,0.0039955038
cat__Country_Croatia,0.003978701
cat__Country_Philippines,0.0039617633
cat__Country_Argentina,0.0038993058
cat__Attraction_Uluwatu Temple,0.0038130416
cat__Country_Angola,0.0038080947
cat__Country_Austria,0.0037681984
cat__Attraction_Malioboro Road,0.0036821747
cat__Country_Chile,0.003665937
cat__Country_Thailand,0.0036079295
cat__Country_Romania,0.0035968537
num__VisitMode,0.0035918008
cat__Attraction_Tanah Lot Temple,0.0034379896
cat__Attraction_Sacred Monkey Forest Sanctuary,0.0033460164
cat__Country_Iran,0.003312415
cat__Country_Vietnam,0.0033071148
cat__Region_Southern Europe,0.0032836364
cat__Country_Greece,0.003213577
cat__Country_Norway,0.0031581789
cat__Country_Pakistan,0.0031493658
cat__Country_Hungary,0.0031320634
cat__Country_Slovenia,0.0031287696
cat__Region_Central Europe,0.0030627777
